id,kod_pytania,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,pytanie_skrot,pytanie,odpowiedz_wzorcowa,notatka,ma_odpowiedz,zrodlo_plik
71,CIE-C02,4,Zjawiska cieplne,Zjawiska cieplne,C,2,"Wyjaśnij, dlaczego w termosie chcemy słabego przewodnictwa ścianek, a…","Wyjaśnij, dlaczego w termosie chcemy słabego przewodnictwa ścianek, a metalowa łyżeczka w środku ochładza herbatę szybciej niż plastikowa.",,,NIE,BRAK - do uzupelnienia
72,CIE-C03,4,Zjawiska cieplne,Zjawiska cieplne,C,3,"Woda w garnku dochodzi do wrzenia. Opisz, co dzieje się z nią od 90°C do…","Woda w garnku dochodzi do wrzenia. Opisz, co dzieje się z nią od 90°C do całkowitego wyparowania (temperatura, energia wewnętrzna, zmiana stanu skupienia).",,,NIE,BRAK - do uzupelnienia
73,CIE-D01,4,Zjawiska cieplne,Zjawiska cieplne,D,1,"Kolega: „Dotykając zimą metalowej poręczy, poręcz oddaje mi swoje zimno"".","Kolega: „Dotykając zimą metalowej poręczy, poręcz oddaje mi swoje zimno"".",,zawiera błąd: tak — to ciepło płynie z ręki do poręczy,NIE,BRAK - do uzupelnienia
74,CIE-D02,4,Zjawiska cieplne,Zjawiska cieplne,D,2,"Koleżanka: „Skoro woda wrze w 100°C i podgrzewamy dłużej, temperatura pary…","Koleżanka: „Skoro woda wrze w 100°C i podgrzewamy dłużej, temperatura pary przekroczy 100°C"".",,zawiera błąd: tak — temperatura nie rośnie podczas wrzenia,NIE,BRAK - do uzupelnienia
75,WLA-A01,5,Właściwości materii,Właściwości materii,A,1,Dlaczego różne substancje o tej samej objętości mogą mieć różną masę? Co…,Dlaczego różne substancje o tej samej objętości mogą mieć różną masę? Co mówi to o ich budowie mikroskopowej?,"Bo substancje różnią się gęstością - rodzajem cząstek, z których są zbudowane, i tym, jak ciasno te cząstki są upakowane. Przy tej samej objętości większa masa oznacza, że w tej samej przestrzeni zmieściło się więcej materii, czyli substancja ma większą gęstość. Pokazuje to, że materia nie jest jednorodna i ciągła, lecz zbudowana z cząstek o określonej masie, rozmieszczonych z różną gęstością upakowania w zależności od rodzaju substancji i sił działających między cząsteczkami.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
76,WLA-A02,5,Właściwości materii,Właściwości materii,A,2,"Czym różni się ciśnienie od siły — dlaczego ten sam but „ciśnie"" różnie…","Czym różni się ciśnienie od siły — dlaczego ten sam but „ciśnie"" różnie zależnie od pozycji stopy?","Siła to nacisk działający na ciało (mierzony w niutonach), a ciśnienie to ta siła podzielona przez pole powierzchni, na jaką działa: p=F/S. Ciężar osoby (siła) się nie zmienia, ale gdy stoi ona na całej stopie, siła rozkłada się na dużą powierzchnię S, więc ciśnienie jest małe. Gdy staje na palcach, ta sama siła działa na dużo mniejszą powierzchnię, więc ciśnienie rośnie. Dlatego ten sam but „ciśnie"" mocniej, gdy opieramy się na małej części stopy.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
77,WLA-B01,5,Właściwości materii,Właściwości materii,B,1,"Żelazo tonie, drewno pływa. Wytłumacz to różnicą gęstości i budową…","Żelazo tonie, drewno pływa. Wytłumacz to różnicą gęstości i budową mikroskopową.","O tym, czy ciało tonie, czy pływa, decyduje jego gęstość w porównaniu z gęstością wody (ok. 1000 kg/m³), a nie sama masa. Żelazo ma gęstość ok. 7800 kg/m³ - jego atomy są ciężkie i bardzo ciasno upakowane, więc w danej objętości mieści się dużo masy, dlatego tonie. Drewno ma gęstość ok. 400-800 kg/m³ (mniej niż woda) - jego budowa komórkowa jest porowata i zawiera dużo powietrza, więc przy tej samej objętości masa jest znacznie mniejsza, dlatego pływa. Pułapka: liczy się stosunek masy do objętości (gęstość), a nie sama masa - duża kłoda drewna może ważyć więcej niż mały gwóźdź z żelaza, a mimo to drewno pływa, a gwóźdź tonie.",pułapka: mylenie masy z gęstością,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
78,WLA-B02,5,Właściwości materii,Właściwości materii,B,2,Kostka o V=2 dm³ ma masę 6 kg. Oblicz gęstość w kg/dm³ i w kg/m³.,Kostka o V=2 dm³ ma masę 6 kg. Oblicz gęstość w kg/dm³ i w kg/m³.,"Gęstość liczymy ze wzoru d=m/V, czyli d=6 kg/2 dm³=3 kg/dm³. Aby przeliczyć na kg/m³, korzystamy z tego, że 1 m³=1000 dm³, więc 1 kg/dm³=1000 kg/m³. Zatem 3 kg/dm³=3000 kg/m³. Typowy błąd polega na odwróceniu wzoru, czyli liczeniu V/m zamiast m/V - trzeba pamiętać, że gęstość odpowiada na pytanie „ile masy przypada na jednostkę objętości"", więc zawsze dzielimy masę przez objętość, nie odwrotnie.",pułapka: odwrócenie wzoru (V/m zamiast m/V),TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
79,WLA-B03,5,Właściwości materii,Właściwości materii,B,3,Ten sam but wywiera inny nacisk na śnieg na całej stopie i na palcach…,Ten sam but wywiera inny nacisk na śnieg na całej stopie i na palcach. Wytłumacz to wzorem na ciśnienie.,"Siła nacisku (ciężar osoby) jest w obu przypadkach taka sama, ale ciśnienie zależy od wzoru p=F/S, czyli od siły podzielonej przez pole powierzchni, na którą ta siła działa. Gdy opieramy się na całej stopie, pole S jest duże, więc ciśnienie jest małe i but „słabo"" wgniata śnieg. Gdy stajemy na palcach, ta sama siła F działa na dużo mniejszą powierzchnię, więc ciśnienie rośnie i but wgniata się głębiej. Pułapka polega na myśleniu, że skoro siła (ciężar) się nie zmienia, to ciśnienie musi być stałe - tymczasem ciśnienie zależy od dwóch wielkości: siły i powierzchni, na jaką ta siła działa.","pułapka: przekonanie, że stała siła = stałe ciśnienie",TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
80,WLA-B04,5,Właściwości materii,Właściwości materii,B,4,"Dlaczego przy otwieraniu gazowanej butelki „syczy"" powietrze?","Dlaczego przy otwieraniu gazowanej butelki „syczy"" powietrze?","W zamkniętej butelce z napojem gazowanym panuje ciśnienie znacznie wyższe niż ciśnienie atmosferyczne na zewnątrz, bo rozpuszczony w napoju dwutlenek węgla częściowo wydziela się w postaci gazu i gromadzi się nad cieczą pod korkiem. Gdy otwieramy butelkę, gaz o wysokim ciśnieniu gwałtownie wyrównuje się z niższym ciśnieniem atmosferycznym na zewnątrz, uciekając przez otwór - to gwałtowne wyrównywanie ciśnień słyszymy jako „syk"". Pułapka: nie chodzi o „ciężar"" (masę) powietrza zgromadzonego w butelce, lecz o różnicę ciśnień między wnętrzem a otoczeniem, która napędza przepływ gazu na zewnątrz.",pułapka: mylenie ciśnienia atmosferycznego z wagą powietrza w butelce,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
81,WLA-B05,5,Właściwości materii,Właściwości materii,B,5,"Wytłumacz prawem Pascala, dlaczego nacisk na tłok strzykawki z boku daje…","Wytłumacz prawem Pascala, dlaczego nacisk na tłok strzykawki z boku daje równomierny wypływ ze wszystkich otworków na jej końcu.","Prawo Pascala mówi, że ciśnienie wywierane na ciecz (lub gaz) w zamkniętym naczyniu rozchodzi się jednakowo we wszystkich kierunkach i jest przekazywane bez zmian do każdego punktu tej cieczy. Gdy naciskamy na tłok strzykawki, zwiększone ciśnienie działa jednakowo na ciecz przy każdym z otworków na jej końcu, niezależnie od tego, jak są one ustawione względem kierunku nacisku, dlatego ciecz wypływa równomiernie ze wszystkich otworków, a nie tylko z tego znajdującego się „naprzeciwko"" tłoka. Pułapka polega na błędnej intuicji, że ciśnienie przenosi się tylko wzdłuż kierunku pchania, tak jak siła - podczas gdy ciecze i gazy przekazują ciśnienie we wszystkich kierunkach jednocześnie.","pułapka: przekonanie, że ciśnienie rozchodzi się tylko w kierunku nacisku",TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
82,WLA-B06,5,Właściwości materii,Właściwości materii,B,6,Dlaczego nurek na 10 m czuje większe ciśnienie niż przy powierzchni? Od…,Dlaczego nurek na 10 m czuje większe ciśnienie niż przy powierzchni? Od czego ono zależy?,"Ciśnienie hydrostatyczne rośnie wraz z głębokością, bo im głębiej, tym wyższa jest kolumna wody znajdująca się nad danym punktem, a jej ciężar dociska na ciało nurka. Opisuje to wzór p=ρ·g·h, gdzie ρ to gęstość cieczy, g to przyspieszenie ziemskie, a h to głębokość. Na 10 m ciśnienie hydrostatyczne jest więc znacznie większe niż przy powierzchni, bo h jest większe (dodatkowo działa jeszcze ciśnienie atmosferyczne, wywierane na powierzchnię wody). Pułapka: ciśnienie zależy nie tylko od głębokości, ale też od gęstości cieczy - w słonej wodzie morskiej (większa gęstość) ciśnienie na tej samej głębokości byłoby większe niż w wodzie słodkiej.",pułapka: pominięcie zależności od gęstości cieczy,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
83,WLA-B07,5,Właściwości materii,Właściwości materii,B,7,"Dlaczego statek stalowy pływa, a lita bryła stali tonie?","Dlaczego statek stalowy pływa, a lita bryła stali tonie?","Nie liczy się gęstość samego materiału (stali), tylko średnia gęstość całego obiektu - czyli jego całkowita masa podzielona przez całkowitą objętość, jaką zajmuje, łącznie z pustymi przestrzeniami wewnątrz kadłuba wypełnionymi powietrzem. Lita bryła stali ma gęstość ok. 7800 kg/m³, czyli dużo więcej niż woda (1000 kg/m³), więc tonie. Statek ma kształt pustej w środku „miski"" - jego kadłub w dużej mierze wypełniony jest powietrzem, więc przy dużej objętości całkowita masa statku jest stosunkowo mała, a średnia gęstość całego statku jest mniejsza od gęstości wody, dlatego pływa. Pułapka: trzeba odróżnić gęstość materiału, z którego coś jest zrobione, od średniej (efektywnej) gęstości całego przedmiotu.",pułapka: porównywanie gęstości materiału zamiast gęstości średniej całego obiektu,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
84,WLA-B08,5,Właściwości materii,Właściwości materii,B,8,"(fakultatywne) Dlaczego kropla wody na liściu jest w miarę kulista, a nie…","(fakultatywne) Dlaczego kropla wody na liściu jest w miarę kulista, a nie się rozlewa?","Cząsteczki wody przyciągają się wzajemnie siłami spójności (kohezji). Cząsteczki wewnątrz kropli są przyciągane ze wszystkich stron równomiernie, natomiast cząsteczki na powierzchni są przyciągane głównie do wnętrza (bo nad nimi nie ma już wody), co sprawia, że powierzchnia kropli zachowuje się jak napięta, elastyczna „błonka"" dążąca do jak najmniejszego pola powierzchni. Dla danej objętości kształtem o najmniejszym polu powierzchni jest kula, dlatego mała kropla przybiera kształt zbliżony do kulistego. Pułapka: sama grawitacja tłumaczyłaby raczej rozlanie się i spłaszczenie kropli, a nie jej kulisty kształt - to właśnie napięcie powierzchniowe „ściąga"" kroplę w kulę; dopiero przy dużych kroplach grawitacja zaczyna je zauważalnie spłaszczać.","pułapka: tłumaczenie wyłącznie grawitacją, pominięcie napięcia powierzchniowego",TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
85,WLA-B09,5,Właściwości materii,Właściwości materii,B,9,"Jak wyznaczysz gęstość kamienia o nieregularnym kształcie, mając wagę…","Jak wyznaczysz gęstość kamienia o nieregularnym kształcie, mając wagę, cylinder miarowy i wodę?","1) Zważ kamień na wadze, uzyskując jego masę m. 2) Nalej do cylindra miarowego znaną objętość wody i odczytaj poziom V1. 3) Zanurz całkowicie kamień w wodzie i odczytaj nowy poziom wody V2. 4) Objętość kamienia to różnica poziomów: V=V2-V1, bo zanurzony kamień wypiera dokładnie tyle wody, ile wynosi jego własna objętość. 5) Oblicz gęstość ze wzoru d=m/V. Pułapka: przy nieregularnym kształcie nie da się policzyć objętości żadnym wzorem geometrycznym, dlatego trzeba skorzystać z metody wypartej cieczy (zanurzenia).",pułapka: brak pomysłu na metodę wypartej wody,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
86,WLA-B10,5,Właściwości materii,Właściwości materii,B,10,Opisz doświadczenie z kartką i szklanką wody pokazujące ciśnienie…,Opisz doświadczenie z kartką i szklanką wody pokazujące ciśnienie atmosferyczne.,"Napełnij szklankę wodą „po brzegi"", przykryj ją od góry kartką papieru dociśniętą tak, by nie było pod nią pęcherzyków powietrza, przytrzymaj kartkę dłonią i szybko odwróć szklankę do góry dnem, po czym puść kartkę. Kartka pozostaje przyklejona do szklanki i woda się nie wylewa, ponieważ ciśnienie atmosferyczne działające na kartkę od dołu (z zewnątrz) jest większe niż ciśnienie panujące wewnątrz szklanki, a ta różnica ciśnień dociska kartkę do szklanki, utrzymując wodę w środku.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
87,WLA-B11,5,Właściwości materii,Właściwości materii,B,11,Zaproponuj doświadczenie pokazujące napięcie powierzchniowe wody (np. ze…,Zaproponuj doświadczenie pokazujące napięcie powierzchniowe wody (np. ze spinaczem).,"Napełnij naczynie wodą po brzegi, tak by powierzchnia była spokojna. Delikatnie, np. za pomocą widelca lub kawałka papieru, połóż metalowy spinacz płasko na powierzchni wody (nie wrzucaj go, tylko ostrożnie opuszczaj). Mimo że stal jest gęstsza od wody i normalnie by tonęła, spinacz utrzyma się na powierzchni, bo napięta „błonka"" powstała dzięki napięciu powierzchniowemu wody unosi go, zanim zostanie przebita. Jeśli dodamy kroplę płynu do mycia naczyń, napięcie powierzchniowe gwałtownie maleje i spinacz od razu tonie - pokazuje to, że to właśnie napięcie powierzchniowe, a nie wyporność, utrzymywało go na powierzchni.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
88,WLA-B12,5,Właściwości materii,Właściwości materii,B,12,Jak zademonstrować wzrost ciśnienia hydrostatycznego z głębokością (np…,Jak zademonstrować wzrost ciśnienia hydrostatycznego z głębokością (np. butelka z otworami na różnych wysokościach)?,"Weź plastikową butelkę i zrób w jej ścianie, jeden nad drugim, trzy małe otwory na różnych wysokościach (np. blisko dna, w połowie i blisko góry). Napełnij butelkę wodą (otwory można na chwilę zatkać palcami) i jednocześnie je odsłoń. Strumień wody z najniższego otworu wytryśnie najdalej i najmocniej, ze środkowego słabiej, a z najwyższego najsłabiej. Pokazuje to, że ciśnienie hydrostatyczne, a więc i siła, z jaką woda jest wypychana, rośnie wraz z głębokością - im niżej znajduje się otwór, tym większa kolumna wody znajduje się nad nim.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
89,WLA-B13,5,Właściwości materii,Właściwości materii,B,13,"Jak wyznaczyć siłę wyporu działającą na zanurzony przedmiot, mając…","Jak wyznaczyć siłę wyporu działającą na zanurzony przedmiot, mając siłomierz i naczynie z wodą?","1) Zawieś przedmiot na siłomierzu w powietrzu i odczytaj jego ciężar w powietrzu F1. 2) Zanurz ten sam przedmiot całkowicie w wodzie, nadal wisząc na siłomierzu i nie dotykając dna ani ścianek naczynia, i odczytaj nowy wskazany ciężar F2 - będzie on mniejszy, bo woda „podpiera"" przedmiot. 3) Siła wyporu to różnica tych dwóch odczytów: Fw=F1-F2, bo tyle „brakuje"" do pełnego ciężaru dzięki wypychaniu przedmiotu przez wodę (zgodnie z prawem Archimedesa siła ta jest równa ciężarowi wypartej przez przedmiot wody).",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
90,WLA-C01,5,Właściwości materii,Właściwości materii,C,1,Kule o tej samej objętości — aluminiowa i ołowiana — wrzucasz do wody…,"Kule o tej samej objętości — aluminiowa i ołowiana — wrzucasz do wody. Oszacuj „na oko"", która zatonie, potem uzasadnij gęstością i prawem Archimedesa.","Na oko: obie kule zatoną, bo zarówno aluminium (ρ≈2700 kg/m³), jak i ołów (ρ≈11 340 kg/m³) mają gęstość większą od wody (1000 kg/m³) - ołów jednak wyraźnie „mocniej"" toczy się na dno, bo jest znacznie gęstszy. Uzasadnienie: siła wyporu przy tej samej objętości zanurzenia jest dla obu kul taka sama, bo Fw=ρwody·g·V zależy tylko od objętości wypartej wody, która jest identyczna dla obu kul. Natomiast ciężar kuli ołowianej jest dużo większy niż kuli aluminiowej, bo mają tę samą objętość, ale różną gęstość (czyli różną masę). W obu przypadkach ciężar przewyższa siłę wyporu, więc obie kule toną - ołowiana opada z relatywnie większą przewagą siły ciężkości nad wyporem, bo różnica jej gęstości względem wody jest większa niż w przypadku aluminium.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
91,WLA-C02,5,Właściwości materii,Właściwości materii,C,2,"Balonik z helem unosi się w powietrzu. Połącz gęstość, siłę wyporu i siłę…","Balonik z helem unosi się w powietrzu. Połącz gęstość, siłę wyporu i siłę ciężkości, by to wytłumaczyć.","Balonik napełniony helem unosi się, bo hel ma znacznie mniejszą gęstość niż otaczające powietrze. Na balonik działają dwie siły: siła ciężkości (ciężar helu i powłoki balonika, skierowana w dół) oraz siła wyporu, równa ciężarowi powietrza wypartego przez objętość balonika (skierowana w górę, zgodnie z prawem Archimedesa - tu płynem, w którym „zanurzony"" jest balonik, jest powietrze). Ponieważ gęstość helu jest dużo mniejsza od gęstości powietrza, ciężar wypartego powietrza jest większy niż ciężar samego balonika z helem, więc siła wyporu przewyższa siłę ciężkości i wypadkowa siła unosi balonik do góry - aż do wysokości, na której z powodu malejącej gęstości rzadszego powietrza obie siły się zrównają.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
92,WLA-C03,5,Właściwości materii,Właściwości materii,C,3,Nurkujesz coraz głębiej na basenie. Połącz ciśnienie hydrostatyczne i…,"Nurkujesz coraz głębiej na basenie. Połącz ciśnienie hydrostatyczne i atmosferyczne, opisując łączne ciśnienie na głębokości 3 m.","Na powierzchni wody na nurka działa tylko ciśnienie atmosferyczne, p0≈100 000 Pa (ok. 1013 hPa). Gdy zanurza się na głębokość h=3 m, dochodzi dodatkowo ciśnienie hydrostatyczne słupa wody znajdującego się nad nim: ph=ρwody·g·h≈1000 kg/m³ · 10 m/s² · 3 m=30 000 Pa (dla wody słodkiej). Ciśnienie całkowite (bezwzględne), jakie odczuwa nurek na głębokości 3 m, to suma obu składników: p=p0+ph≈100 000+30 000=130 000 Pa, czyli o ok. 30% więcej niż na powierzchni. Pokazuje to, że pod wodą ciało jest ściskane nie tylko przez atmosferę nad taflą wody, ale też przez samą wodę, a to dodatkowe ciśnienie rośnie proporcjonalnie do głębokości.",,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
93,WLA-D01,5,Właściwości materii,Właściwości materii,D,1,"Kolega, pokazując pływający statek ze stali: „Żelazo zawsze tonie, bo jest…","Kolega, pokazując pływający statek ze stali: „Żelazo zawsze tonie, bo jest cięższe od wody"".","Tak, kolega popełnia błąd. To, czy coś tonie czy pływa, nie zależy od tego, czy dany kawałek materiału jest „cięższy"" (ma większą masę) od jakiejś ilości wody, tylko od porównania gęstości: gęstości materiału (a dokładniej średniej gęstości całego obiektu) z gęstością wody. Żelazo jako lita bryła ma gęstość ok. 7800 kg/m³, czyli więcej niż woda (1000 kg/m³), więc lity kawałek żelaza faktycznie tonie. Statek zrobiony ze stali ma jednak kształt pustej w środku powłoki, wypełnionej w dużej mierze powietrzem, więc jego średnia gęstość - cała masa statku podzielona przez całą objętość, jaką zajmuje razem z powietrzem w kadłubie - jest mniejsza od gęstości wody, dlatego pływa. Koledze warto wytłumaczyć, że liczy się stosunek masy do objętości całego obiektu, a nie sam rodzaj materiału ani jego „ciężar"".",zadanie zawiera błąd,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
94,WLA-D02,5,Właściwości materii,Właściwości materii,D,2,"Koleżanka: gęstość przy m=500 g, V=250 cm³ obliczyła jako d=250/500=0,5…","Koleżanka: gęstość przy m=500 g, V=250 cm³ obliczyła jako d=250/500=0,5 g/cm³.","Tak, to błąd - koleżanka odwróciła wzór na gęstość. Poprawny wzór to d=m/V, czyli masa podzielona przez objętość, a nie odwrotnie. Podstawiając poprawnie: d=500 g/250 cm³=2 g/cm³. Błędny wynik d=V/m=250/500=0,5 g/cm³ jest po prostu odwrotnością prawidłowej wartości (0,5 to 1/2, podczas gdy poprawna odpowiedź to 2). Warto wytłumaczyć koleżance, że gęstość odpowiada na pytanie „ile gramów materii przypada na 1 cm³"", więc zawsze dzielimy masę (wielkość, o którą pytamy „na jednostkę"") przez objętość (jednostkę odniesienia), a nie odwrotnie.",zadanie zawiera błąd,TAK,odpowiedzi-fizyka-wlasciwosci-materii.csv
95,ELE-A01,6,Elektryczność,Elektryczność,A,1,Czym różni się napięcie od natężenia prądu?,Czym różni się napięcie od natężenia prądu?,"Napięcie (U, jednostka wolt V) to różnica potencjałów elektrycznych między dwoma punktami obwodu - mówi, jaką pracę wykonuje pole elektryczne, przesuwając jednostkowy ładunek między tymi punktami; to ""siła napędowa"" prądu. Natężenie (I, jednostka amper A) to ilość ładunku przepływającego przez przekrój przewodnika w jednostce czasu - mówi, jak szybko faktycznie płynie prąd. Napięcie jest przyczyną, a natężenie skutkiem (przy danym oporze, co opisuje prawo Ohma: I=U/R).",,TAK,odpowiedzi-fizyka-elektrycznosc.csv
96,ELE-A02,6,Elektryczność,Elektryczność,A,2,"Dlaczego ciała elektryzują się przez potarcie, a nie przez samo dotknięcie…","Dlaczego ciała elektryzują się przez potarcie, a nie przez samo dotknięcie bez tarcia?","Tarcie zwiększa powierzchnię i czas kontaktu między materiałami, dzięki czemu słabo związane elektrony z powierzchni jednego ciała skutecznie przechodzą na drugie (materiały izolacyjne różnią się ""chęcią"" oddawania/przyjmowania elektronów). Samo krótkie dotknięcie bez tarcia daje zbyt mały i zbyt krótki kontakt powierzchniowy, żeby doszło do znaczącego przeniesienia elektronów - ładunek, który się przenosi, jest wtedy zbyt mały, żeby dało się go zaobserwować.",,TAK,odpowiedzi-fizyka-elektrycznosc.csv
97,ELE-B01,6,Elektryczność,Elektryczność,B,1,Potarta o wełnę linijka przyciąga skrawki papieru. Wytłumacz to…,Potarta o wełnę linijka przyciąga skrawki papieru. Wytłumacz to przemieszczaniem elektronów.,"Podczas tarcia elektrony przechodzą z wełny na linijkę (lub odwrotnie, zależnie od materiałów) - linijka zyskuje nadmiar elektronów i staje się naładowana ujemnie, a wełna traci elektrony i staje się naładowana dodatnio. Papier sam nie jest naładowany, ale w polu elektrycznym linijki elektrony w papierze przesuwają się (polaryzacja/indukcja) tak, że strona bliżej linijki gromadzi ładunek przeciwnego znaku - to wystarcza, by siła przyciągania (bliższy, przeciwny ładunek) przeważyła nad siłą odpychania (dalszy ładunek tego samego znaku), i papier jest przyciągany. Kluczowe: żadne nowe ładunki nie powstają z niczego - tylko elektrony przemieszczają się z jednego ciała na drugie, a całkowity ładunek układu linijka+wełna się zachowuje.",nowe ładunki vs przemieszczenie elektronów,TAK,odpowiedzi-fizyka-elektrycznosc.csv
98,ELE-B02,6,Elektryczność,Elektryczność,B,2,Dwa naelektryzowane balony po potarciu o włosy się odpychają. Co to mówi o…,Dwa naelektryzowane balony po potarciu o włosy się odpychają. Co to mówi o znaku ich ładunków?,"Balony potarte o te same włosy nabierają ładunku tego samego znaku (np. oba ujemnego, bo elektrony przechodzą z włosów na gumę w tym samym kierunku). To, że balony się odpychają, potwierdza właśnie to - ładunki jednoimienne (tego samego znaku) odpychają się, a ładunki różnoimienne (przeciwnych znaków) przyciągają się. Trzeba pamiętać kierunek tej reguły: SAME znaki = odpychanie, RÓŻNE znaki = przyciąganie - łatwo je pomylić.",znak ładunku a przyciąganie/odpychanie,TAK,odpowiedzi-fizyka-elektrycznosc.csv
99,ELE-B03,6,Elektryczność,Elektryczność,B,3,"Podaj przykład przewodnika i izolatora z domu, wyjaśnij różnicę w…","Podaj przykład przewodnika i izolatora z domu, wyjaśnij różnicę w przemieszczaniu ładunków.","Przewodnik: np. metalowa łyżka lub drut - ma swobodne elektrony (elektrony walencyjne w metalu nie są związane z konkretnym atomem), które łatwo przemieszczają się pod wpływem pola elektrycznego, przewodząc ładunek. Izolator: np. plastikowa linijka lub gumka - elektrony są tam silnie związane z atomami/molekułami i nie mogą się swobodnie przemieszczać, więc ładunek nie przepływa, a jedynie może się lokalnie gromadzić w miejscu potarcia. Ważne: przewodnictwo NIE zależy od tego, czy materiał wygląda metalicznie albo jest twardy - np. twarde drewno jest izolatorem, a miękki, niemetaliczny grafit (np. w ołówku) jest przewodnikiem; decyduje struktura elektronowa materiału, nie jego wygląd czy twardość.",przewodnictwo vs wygląd/twardość,TAK,odpowiedzi-fizyka-elektrycznosc.csv
100,ELE-B04,6,Elektryczność,Elektryczność,B,4,Naelektryzowana ujemnie pałeczka zbliżona do neutralnej kulki metalowej…,Naelektryzowana ujemnie pałeczka zbliżona do neutralnej kulki metalowej powoduje przesunięcie ładunków. Opisz zachowanie elektronów w kulce.,"Ujemnie naładowana pałeczka zbliżona (bez dotyku) do neutralnej metalowej kulki odpycha swobodne elektrony w kulce - elektrony przesuwają się na stronę kulki dalszą od pałeczki, a strona bliższa pałeczce zostaje z niedomiarem elektronów, czyli ładunkiem dodatnim indukowanym. Kulka jako całość wciąż jest elektrycznie neutralna (tyle samo elektronów co protonów), ale ładunek jest rozłożony niesymetrycznie - to jest zjawisko indukcji elektrostatycznej. Kluczowe: to zjawisko zachodzi BEZ kontaktu fizycznego - samo pole elektryczne pałeczki wystarcza, aby przesunąć elektrony w przewodniku.",indukcja bez kontaktu,TAK,odpowiedzi-fizyka-elektrycznosc.csv
101,ELE-B05,6,Elektryczność,Elektryczność,B,5,Dlaczego listki elektroskopu rozchylają się przy zbliżeniu…,Dlaczego listki elektroskopu rozchylają się przy zbliżeniu naelektryzowanego przedmiotu?,"Listki elektroskopu są elektrycznie połączone z metalowym trzonkiem/talerzykiem. Gdy zbliżamy naładowany przedmiot, w trzonku i listkach dochodzi do indukcji elektrostatycznej, w wyniku której na obu listkach gromadzi się ładunek tego samego znaku (bo indukcja działa jednakowo na całą połączoną metalową część). Ponieważ oba listki mają ładunek TEGO SAMEGO znaku, odpychają się wzajemnie i dlatego się rozchylają. Kluczowe jest właśnie to, że listki nie są przyciągane przez zbliżony przedmiot, a rozchylają się, bo odpychają się nawzajem, mając ten sam znak ładunku.",listki mają ten sam znak,TAK,odpowiedzi-fizyka-elektrycznosc.csv
102,ELE-B06,6,Elektryczność,Elektryczność,B,6,Ładunek ciała to 5-krotność ładunku elementarnego. Co to znaczy w liczbie…,Ładunek ciała to 5-krotność ładunku elementarnego. Co to znaczy w liczbie elektronów?,"Ładunek elementarny to najmniejsza możliwa ""porcja"" ładunku elektrycznego - ładunek pojedynczego elektronu lub protonu (e ≈ 1,6·10⁻¹⁹ C). Jeśli ładunek ciała wynosi 5-krotność ładunku elementarnego, to ciało ma nadmiar (lub niedomiar) dokładnie 5 elektronów - czyli różnica między liczbą elektronów i protonów w tym ciele to 5. Ważne rozróżnienie: kulomb (C) to jednostka ładunku w układzie SI, a ładunek elementarny to konkretna, bardzo mała wartość ładunku - ""5-krotność ładunku elementarnego"" oznacza 5 elektronów, a nie 5 kulombów (to byłaby ogromna, nierealistyczna liczba elektronów).",ładunek elementarny vs kulomb,TAK,odpowiedzi-fizyka-elektrycznosc.csv
103,ELE-B07,6,Elektryczność,Elektryczność,B,7,Czym różni się przepływ prądu w metalu od przepływu w roztworze soli?,Czym różni się przepływ prądu w metalu od przepływu w roztworze soli?,"W metalu prąd to uporządkowany ruch swobodnych elektronów (ładunki ujemne) - umownie mówimy, że prąd ""płynie"" w kierunku przeciwnym do ich ruchu. W roztworze soli (elektrolicie) nośnikami prądu są jony - dodatnie kationy poruszają się w jedną stronę, a ujemne aniony w drugą, i obie te wędrówki jonów razem tworzą przepływ prądu. Kluczowe: prąd elektryczny to ogólnie uporządkowany ruch nośników ładunku, a nośnikami nie muszą być elektrony - w elektrolitach (i np. w gazach czy plazmie) są to jony.",nośniki prądu: elektrony vs jony,TAK,odpowiedzi-fizyka-elektrycznosc.csv
