id,kod,przedmiot,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,streszczenie_pytania,pytanie,odpowiedz_wzorcowa,notatka
55,CHEM-P3b-B05,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,5,"Dowód, że powietrze to mieszanina","Jak można doświadczalnie udowodnić, że powietrze jest mieszaniną, a nie jednym gazem? (pułapka: pomylenie dowodu na mieszaninę z dowodem na obecność samego tlenu)","Doświadczalnym dowodem na to, że powietrze jest mieszaniną, jest możliwość rozdzielenia go na składniki metodami fizycznymi, np. przez skroplenie powietrza w niskiej temperaturze i destylację frakcyjną — poszczególne gazy (azot, tlen, argon) skraplają się i wrzą w różnych temperaturach, więc można je od siebie oddzielić bez reakcji chemicznej, co jest niemożliwe dla czystego, pojedynczego związku czy pierwiastka. Pułapka: nie należy mylić tego z prostym doświadczeniem wykazującym jedynie obecność tlenu w powietrzu (np. spalanie świecy pod kloszem, po czym płomień gaśnie, a poziom wody się podnosi) — to dowodzi tylko, że w powietrzu JEST tlen i że się zużywa w spalaniu, a nie że powietrze jest mieszaniną wielu gazów; do udowodnienia mieszaniny trzeba pokazać rozdzielenie na kilka różnych składników.",pułapka: dowód obecności tlenu mylony z dowodem na mieszaninę
56,CHEM-P3b-B06,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,6,Gazy szlachetne – nazwa i zastosowanie,Dlaczego gazy szlachetne nazywa się „szlachetnymi”? Podaj jedno zastosowanie. (pułapka: mylenie „szlachetności” z rzadkością występowania zamiast z małą reaktywnością),"Gazy szlachetne (hel, neon, argon, krypton, ksenon, radon) nazywa się „szlachetnymi”, ponieważ mają w pełni zapełnioną powłokę walencyjną elektronów, przez co są chemicznie bardzo mało reaktywne — praktycznie nie tworzą związków chemicznych w normalnych warunkach. Przykładowe zastosowanie: hel wykorzystuje się do napełniania balonów i sterowców (jest lekki i niepalny, w przeciwieństwie do wodoru), a argon stosuje się np. do wypełniania żarówek czy jako gaz ochronny przy spawaniu. Pułapka: „szlachetność” nie oznacza rzadkości występowania w przyrodzie (argon stanowi ok. 1% powietrza i wcale nie jest rzadki) — chodzi wyłącznie o małą reaktywność chemiczną, czyli niechęć do tworzenia związków z innymi pierwiastkami.",pułapka: szlachetność mylona z rzadkością występowania
57,CHEM-P3b-B07,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",B,7,Źródła zanieczyszczeń powietrza,Wymień dwa źródła zanieczyszczeń powietrza i po jednym sposobie ograniczenia każdego z nich. (pułapka: pominięcie źródeł przemysłowych/transportowych),"Przykład pierwszy: spaliny z transportu samochodowego (silniki spalinowe emitują m.in. tlenki azotu, tlenek węgla(II) i pyły) — można je ograniczyć poprzez rozwój transportu publicznego oraz pojazdów elektrycznych. Przykład drugi: spalanie węgla i innych paliw kopalnych w elektrowniach i domowych piecach (tzw. niska emisja) — można to ograniczyć przez wymianę starych pieców na nowoczesne źródła ciepła (np. pompy ciepła) oraz zwiększenie udziału odnawialnych źródeł energii. Pułapka: nie wystarczy wymienić tylko jednego, „oczywistego” źródła (np. samych fabryk) — warto pamiętać, że istotnym źródłem zanieczyszczeń jest też transport indywidualny oraz domowe ogrzewanie, a nie wyłącznie duży przemysł.",pułapka: pominięcie transportu lub niskiej emisji jako źródła zanieczyszczeń
58,CHEM-P3b-C01,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",C,1,Spalanie węgla – duży vs mały dostęp tlenu,"Zanim zapiszesz równania, oszacuj „na oko”: przy spalaniu węgla w dużym czy w małym dostępie tlenu powstanie więcej trującego tlenku węgla(II)? Zapisz oba równania i sprawdź przewidywanie.","Można przewidzieć „na oko”, że przy MAŁYM dostępie tlenu powstanie więcej trującego tlenku węgla(II) (CO), bo gdy tlenu jest za mało, żeby cały węgiel utlenić do CO₂, część węgla utlenia się tylko częściowo, do CO. Równania: przy dużym dostępie tlenu — spalanie całkowite: C + O₂ → CO₂; przy małym dostępie tlenu — spalanie niecałkowite: 2C + O₂ → 2CO. Sprawdzenie przewidywania: rzeczywiście drugie równanie (mniej tlenu przypadające na atom węgla) prowadzi do powstania CO zamiast CO₂, co potwierdza wstępne oszacowanie — dlatego np. w źle wentylowanych piecach czy przy niedrożnym kominie występuje ryzyko zaczadzenia. Pytanie sprawdza umiejętność łączenia intuicji chemicznej z zapisem i bilansowaniem równań.",
59,CHEM-P3b-C02,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",C,2,Reakcja wodoru z tlenem – woda i wybuchowość,"Napisz, co powstaje w reakcji wodoru z tlenem, i wytłumacz, dlaczego ta reakcja jest jednocześnie ważna dla życia (powstaje woda) i niebezpieczna (mieszanina wybuchowa).","W reakcji wodoru z tlenem powstaje woda: 2H₂ + O₂ → 2H₂O. Reakcja ta jest ważna dla życia, bo woda jest niezbędna dla wszystkich organizmów żywych, a sama reakcja jest też podstawą działania np. wodorowych ogniw paliwowych, które w czysty sposób wytwarzają energię. Jednocześnie jest niebezpieczna, ponieważ mieszanina wodoru z tlenem (lub powietrzem) w odpowiednich proporcjach jest wybuchowa — reakcja zachodzi gwałtownie po zainicjowaniu (np. iskrą), z dużym wydzieleniem energii w krótkim czasie, dlatego wodór trzeba przechowywać i transportować z zachowaniem szczególnych środków ostrożności. Pytanie sprawdza umiejętność łączenia zapisu równania z rozumieniem dwóch pozornie sprzecznych cech tej samej reakcji.",
60,CHEM-P3b-C03,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",C,3,"Spalanie paliw, CO2 a klimat","Wyjaśnij związek między spalaniem paliw kopalnych, emisją CO₂ i skutkami dla klimatu.","Spalanie paliw kopalnych (węgla, ropy naftowej, gazu ziemnego) to reakcje chemiczne, w których węgiel zawarty w tych paliwach łączy się z tlenem z powietrza, tworząc dwutlenek węgla (np. C + O₂ → CO₂) i wydzielając energię (reakcje egzotermiczne). Ponieważ ludzkość spala paliwa kopalne na ogromną skalę, do atmosfery trafia znacznie więcej CO₂, niż naturalne procesy (fotosynteza, pochłanianie przez oceany) są w stanie usunąć, więc jego stężenie w atmosferze systematycznie rośnie. CO₂ jest gazem cieplarnianym — zatrzymuje część promieniowania cieplnego odbitego od Ziemi, co wzmacnia efekt cieplarniany i prowadzi do globalnego ocieplenia, a w konsekwencji do zmian klimatu (topnienie lodowców, ekstremalne zjawiska pogodowe itd.). Pytanie sprawdza umiejętność połączenia wiedzy chemicznej (równanie spalania) z jej skutkami środowiskowymi.",
61,CHEM-P3b-D01,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",D,1,Błąd: CO2 jako przyczyna zaczadzenia,"Kolega mówi: „Tlenek węgla(IV), czyli CO₂, jest trujący, dlatego boimy się zaczadzenia”. Oceń. (zawiera błąd: zaczadzenie powoduje CO, tlenek węgla(II), nie CO₂)","Kolega się myli. Zaczadzenie powoduje tlenek węgla(II), czyli CO, a nie tlenek węgla(IV), czyli CO₂. CO jest niebezpieczny, bo silnie i trwale łączy się z hemoglobiną we krwi, blokując transport tlenu do komórek organizmu — stąd nazwa „czad” i realne zagrożenie życia przy nieszczelnych piecach czy kominkach. CO₂ w typowych stężeniach nie jest trujący w ten sam sposób (choć w bardzo dużych stężeniach może powodować duszenie się z braku tlenu — to inny mechanizm). Żeby wytłumaczyć koledze różnicę, warto podkreślić, że liczba w nazwie (II czy IV) to wartościowość węgla w danym tlenku, i że to właśnie CO, a nie CO₂, jest gazem odpowiedzialnym za zaczadzenia.",zadanie zawiera błąd
62,CHEM-P3b-D02,chemia,3b,"Tlen, wodór i ich związki chemiczne. Powietrze","Tlen, wodór i ich związki chemiczne. Powietrze",D,2,Błąd: tlen jako główny składnik powietrza,"Koleżanka twierdzi: „Powietrze to głównie tlen, bo to nim oddychamy, więc musi go być najwięcej”. Oceń. (zawiera błąd: azotu jest znacznie więcej — ok. 78% N₂ vs ok. 21% O₂)","Koleżanka się myli. W powietrzu jest znacznie więcej azotu (N₂) niż tlenu (O₂) — azot stanowi ok. 78% objętości powietrza, a tlen tylko ok. 21%. To, że oddychamy tlenem i jest on nam niezbędny do życia, nie oznacza, że jest go najwięcej — azot jest gazem chemicznie obojętnym w normalnych warunkach i nie bierze udziału w oddychaniu, ale mimo to stanowi zdecydowaną większość składu powietrza. Żeby to wytłumaczyć koleżance, warto podać dokładne proporcje procentowe i podkreślić, że „ważność biologiczna” gazu nie jest tym samym co jego „ilość” w mieszaninie.",zadanie zawiera błąd
63,CHEM-P4-A01,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,A,1,Budowa cząsteczki wody a rozpuszczalność,"Dlaczego niektóre substancje rozpuszczają się w wodzie, a inne nie — co to ma wspólnego z budową cząsteczki wody?","Cząsteczka wody jest polarna (dipol) — atom tlenu przyciąga elektrony mocniej niż wodór, więc przy tlenie gromadzi się cząstkowy ładunek ujemny, a przy atomach wodoru dodatni. Dzięki temu woda dobrze rozpuszcza substancje polarne i jonowe, np. sole — cząsteczki wody otaczają jony dodatnie i ujemne i wyciągają je z sieci krystalicznej (hydratacja). Substancje niepolarne, np. oleje i tłuszcze, nie mają takich ładunków cząstkowych, więc nie oddziałują elektrostatycznie z wodą i się w niej nie rozpuszczają — stąd zasada „podobne rozpuszcza się w podobnym”.",
64,CHEM-P4-A02,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,A,2,Roztwór nasycony a nienasycony,"Czym różni się roztwór nasycony od nienasyconego — wytłumacz na przykładzie, bez liczenia.","Roztwór nienasycony to taki, w którym woda wciąż może rozpuścić więcej substancji — np. wsypując cukier do wody i mieszając, cały cukier znika, a możemy dosypać kolejne porcje i nadal będą się rozpuszczać. Roztwór nasycony powstaje, gdy woda w danej temperaturze osiągnie granicę rozpuszczalności — dosypany wtedy cukier przestaje się rozpuszczać i opada na dno jako osad, mimo mieszania.",
65,CHEM-P4-B01,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,B,1,Wzór wody – rozpuszczanie soli i oleju,"Zapisz wzór sumaryczny wody i wytłumacz, dlaczego woda jest dobrym rozpuszczalnikiem dla soli, a słabym dla oleju.","Wzór sumaryczny wody: H2O. Cząsteczka wody jest polarna — atom tlenu ma większą elektroujemność niż wodór, więc ma cząstkowy ładunek ujemny, a atomy wodoru dodatni. Sól kuchenna (NaCl) zbudowana jest z jonów Na+ i Cl-; cząsteczki wody ustawiają się wokół tych jonów (ujemnym biegunem przy Na+, dodatnim przy Cl-) i wyrywają je z sieci krystalicznej — to zjawisko hydratacji jonów, dzięki któremu sól się rozpuszcza. Olej zbudowany jest z cząsteczek niepolarnych, bez ładunków cząstkowych, więc woda nie ma z czym oddziaływać elektrostatycznie — cząsteczki oleju trzymają się wzajemnie, a nie wody, dlatego olej i woda się nie mieszają.","pułapka: odpowiedź musi odwoływać się do polarności cząsteczki wody i (nie)polarności substancji, samo „bo tak jest” to za mało"
66,CHEM-P4-B02,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,B,2,"Roztwór właściwy, koloid, zawiesina – przykłady","Podaj przykład substancji tworzącej z wodą: roztwór właściwy, koloid i zawiesinę.","Roztwór właściwy: woda z solą kuchenną — cząsteczki/jony są niewidoczne gołym okiem, ciecz jest przezroczysta i nic nie opada na dno. Koloid: mleko lub żelatyna rozpuszczona w wodzie — cząstki są większe niż w roztworze właściwym, ciecz jest mętna lub opalizująca, ale mimo to nie sedymentuje (nie rozdziela się z czasem). Zawiesina: woda z piaskiem lub mąką — cząstki są duże i po odstawieniu naczynia z czasem opadają na dno, tworząc osad.","pułapka: koloid i zawiesina — kluczowa różnica to sedymentacja: zawiesina z czasem się rozdziela, koloid pozostaje jednorodny"
67,CHEM-P4-B03,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,B,3,Czynniki przyspieszające rozpuszczanie,Wymień dwa czynniki przyspieszające rozpuszczanie substancji stałej w wodzie.,"Dwa czynniki przyspieszające rozpuszczanie to: 1) podwyższenie temperatury wody — dla większości ciał stałych rozpuszczalność rośnie wraz z temperaturą, bo cząsteczki mają więcej energii i szybciej się rozchodzą; 2) mieszanie roztworu oraz rozdrobnienie substancji stałej — im większa powierzchnia kontaktu substancji z wodą i im lepiej rozprowadzone są rozpuszczone cząsteczki, tym szybszy proces.","pułapka: trzeba podać dwa różne czynniki, nie rozwijać obszernie tylko temperatury z pominięciem mieszania/rozdrobnienia"
68,CHEM-P4-B04,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,B,4,Nasycony vs nienasycony – przykład z cukrem,Wytłumacz różnicę między roztworem nasyconym a nienasyconym na przykładzie cukru w szklance wody.,"Roztwór nienasycony cukru w wodzie to taki, w którym cały wsypany cukier się rozpuszcza podczas mieszania — możemy dosypywać kolejne porcje i wciąż będą znikać. Roztwór nasycony powstaje, gdy przy danej temperaturze i ilości wody osiągnięta zostaje granica rozpuszczalności cukru — dosypany wtedy cukier przestaje się rozpuszczać i opada na dno jako widoczny osad, mimo mieszania.","pułapka: „nasycony” nie znaczy „stężony” — roztwór rozcieńczony też może być nasycony, jeśli substancja ma niską rozpuszczalność, a stężony roztwór nie musi być nasycony"
69,CHEM-P4-B05,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,B,5,Obliczenia rozpuszczalności – proporcja soli,"Z wykresu odczytujesz, że w 100 g wody w 20°C rozpuszcza się 36 g soli. Ile soli rozpuścisz w 250 g wody w tej temperaturze?","250 g wody to 2,5 raza więcej niż 100 g wody (250/100 = 2,5), więc masę rozpuszczalnej soli mnożymy przez ten sam współczynnik: 36 g × 2,5 = 90 g. Odpowiedź: 90 g soli.","pułapka: trzeba obliczyć współczynnik proporcjonalności (250/100) i przez niego pomnożyć 36 g, a nie np. dodać stałą wartość albo dzielić zamiast mnożyć"
70,CHEM-P4-B06,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,B,6,Obliczanie stężenia procentowego roztworu,Roztwór ma masę 200 g i zawiera 30 g substancji rozpuszczonej. Oblicz stężenie procentowe.,Stężenie procentowe = (masa substancji rozpuszczonej / masa całego roztworu) × 100% = (30 g / 200 g) × 100% = 15%. Odpowiedź: 15%.,"pułapka: w mianowniku musi być masa całego roztworu (200 g), a nie masa samej wody (rozpuszczalnika, czyli 170 g) — dzielenie przez masę wody dałoby błędny wynik"
71,CHEM-P4-C01,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,C,1,Szacowanie i obliczanie stężenia procentowego,"Zanim policzysz dokładnie — oszacuj „na oko”, czy roztwór 20 g soli w 180 g wody ma stężenie bliżej 10% czy bliżej 50%. Oblicz dokładnie i porównaj z szacunkiem.","Szacunek: masa całego roztworu to 20 g + 180 g = 200 g, a 20 g z 200 g to jedna dziesiąta całości, czyli w przybliżeniu 10% — zdecydowanie bliżej 10% niż 50%. Obliczenie dokładne: (20 g / 200 g) × 100% = 10%. Szacunek pokrywa się z wynikiem dokładnym, co pokazuje, że warto najpierw oszacować rząd wielkości — pozwala to od razu wychwycić rachunkowy błąd, gdyby wyszedł np. wynik 50%."
72,CHEM-P4-C02,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,C,2,Chłodzenie roztworu nasyconego – co się dzieje,"Rozpuszczalność substancji X rośnie wraz z temperaturą. Co stanie się z roztworem nasyconym w 60°C, gdy go ochłodzisz do 20°C?","Skoro rozpuszczalność substancji X rośnie z temperaturą, to w 60°C w danej ilości wody mieści się więcej substancji niż w 20°C. Roztwór nasycony w 60°C zawiera maksymalną ilość substancji możliwą do rozpuszczenia w tej temperaturze. Po ochłodzeniu do 20°C rozpuszczalność maleje, więc woda nie jest już w stanie „utrzymać” tyle rozpuszczonej substancji — nadmiar wytrąca się w postaci osadu (kryształów) na dnie naczynia, a pozostały roztwór jest nasycony, ale już dla nowej, niższej temperatury."
73,CHEM-P4-C03,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,C,3,Stężenie procentowe a ilość substancji – przykład liczbowy,"Wytłumacz, dlaczego roztwór o niższym stężeniu procentowym może zawierać więcej substancji rozpuszczonej niż roztwór o wyższym stężeniu, jeśli mają różne masy całkowite — podaj przykład liczbowy.","Stężenie procentowe to udział masy substancji w masie CAŁEGO roztworu, a nie bezwzględna ilość substancji — dlatego duży roztwór o niskim stężeniu może zawierać więcej substancji niż mały roztwór o wysokim stężeniu. Przykład: roztwór 1 ma 50 g soli w 950 g wody, czyli masa całkowita 1000 g — stężenie to (50/1000)×100% = 5%. Roztwór 2 ma 20 g soli w 80 g wody, czyli masa całkowita 100 g — stężenie to (20/100)×100% = 20%. Roztwór 1 ma niższe stężenie (5% < 20%), ale zawiera więcej soli w gramach (50 g > 20 g), bo jego masa całkowita jest dziesięciokrotnie większa."
74,CHEM-P4-D01,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,D,1,Błąd: obliczanie stężenia (50g/50g=100%),"Kolega liczy: „Roztwór ma 50 g wody i 50 g cukru, więc stężenie procentowe to 50/50 = 100%”. Oceń.","Kolega popełnił błąd. Podzielił masę cukru przez masę samej wody (50 g), a powinien podzielić przez masę CAŁEGO roztworu, czyli sumę masy cukru i wody: 50 g + 50 g = 100 g. Poprawne obliczenie: (50 g / 100 g) × 100% = 50%. Aby wytłumaczyć to koledze, warto podkreślić, że mianownikiem we wzorze na stężenie procentowe zawsze jest masa całego roztworu (substancja rozpuszczona + rozpuszczalnik), nigdy sama masa rozpuszczalnika.",zadanie zawiera błąd
75,CHEM-P4-D02,chemia,4,Woda i roztwory wodne,Woda i roztwory wodne,D,2,Błąd: nasycony = zawsze wysokie stężenie,"Koleżanka mówi: „Roztwór nasycony to taki, w którym jest bardzo dużo rozpuszczonej substancji, więc zawsze ma wysokie stężenie procentowe”. Oceń.","Koleżanka popełniła błąd. To, czy roztwór jest nasycony, zależy od rozpuszczalności danej substancji w danej temperaturze (czyli od maksymalnej ilości, jaką w tych warunkach można rozpuścić w określonej ilości wody), a nie od bezwzględnej ilości substancji ani od wysokiego stężenia procentowego. Substancja o niskiej rozpuszczalności może dać roztwór nasycony już przy niewielkim, niskoprocentowym stężeniu, natomiast substancja bardzo dobrze rozpuszczalna może wciąż tworzyć roztwór nienasycony mimo wysokiego stężenia procentowego.",zadanie zawiera błąd
76,CHEM-P5a-A01,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,A,1,Dysocjacja elektrolityczna – co się dzieje w wodzie,"Wytłumacz, na czym polega dysocjacja elektrolityczna — co dokładnie dzieje się z substancją, gdy trafia do wody?","Dysocjacja elektrolityczna to rozpad związku chemicznego na jony (kationy i aniony) pod wpływem wody. Cząsteczki wody są polarne, więc otaczają jony budujące kryształ (lub silnie polarne cząsteczki) i osłabiają siły je wiążące — jony zostają „oderwane” od siebie i otoczone cząsteczkami wody (uwodnione, zhydratyzowane), po czym poruszają się swobodnie w roztworze. Dzięki obecności swobodnych jonów taki roztwór przewodzi prąd elektryczny, czego nie robi ani czysta woda, ani stały elektrolit przed rozpuszczeniem."
77,CHEM-P5a-A02,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,A,2,Co mierzy skala pH,"Co dokładnie mierzy skala pH i skąd „wie”, że coś jest kwasem?","Skala pH mierzy stężenie (a właściwie aktywność) jonów wodorowych H+ w roztworze wodnym. Jest to skala logarytmiczna od 0 do 14: im więcej jonów H+ w roztworze, tym niższe pH i tym silniej kwasowy odczyn; im mniej jonów H+ (czyli relatywnie więcej jonów OH-), tym wyższe pH i odczyn bardziej zasadowy. pH = 7 oznacza odczyn obojętny, gdy stężenia H+ i OH- są sobie równe (jak w czystej wodzie). To właśnie nadmiar jonów H+ nad OH- sprawia, że roztwór „jest kwasem”."
78,CHEM-P5a-B01,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,1,Wzory NaOH i H2SO4,"Zapisz wzór sumaryczny wodorotlenku sodu i kwasu siarkowego(VI), podając ich nazwy.","Wodorotlenek sodu: NaOH. Kwas siarkowy(VI): H2SO4. Liczba rzymska (VI) w nazwie oznacza stopień utlenienia siarki i jednocześnie odróżnia ten kwas od kwasu siarkowego(IV) — H2SO3, w którym siarka ma niższy stopień utlenienia i cząsteczka zawiera o jeden atom tlenu mniej. Nie wolno więc pisać H2SO4, myśląc o kwasie siarkowym(IV), ani odwrotnie — to dwa różne związki o różnych właściwościach.",pułapka: mylenie H2SO4 z H2SO3
79,CHEM-P5a-B02,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,2,Otrzymywanie trudno rozpuszczalnego Cu(OH)2,"Opisz, jak otrzymać wodorotlenek trudno rozpuszczalny w wodzie, np. Cu(OH)₂, i zapisz równanie.","Wodorotlenków trudno rozpuszczalnych nie da się otrzymać przez rozpuszczenie odpowiadającego im tlenku w wodzie (np. CuO nie reaguje z wodą, bo tlenki metali ciężkich są w większości nierozpuszczalne i nie tworzą wodorotlenków bezpośrednio). Otrzymuje się je metodą strąceniową: do roztworu rozpuszczalnej soli danego metalu dodaje się roztwór rozpuszczalnej zasady (np. NaOH lub KOH) — wytrąca się wtedy osad trudno rozpuszczalnego wodorotlenku. Przykład: CuSO4 + 2NaOH → Cu(OH)2↓ + Na2SO4. Niebieski osad Cu(OH)2 wypada z roztworu, a w roztworze pozostaje rozpuszczalny siarczan(VI) sodu.",pułapka: próba rozpuszczenia tlenku metalu w wodzie zamiast reakcji strąceniowej
80,CHEM-P5a-B03,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,3,Zastosowania NaOH i HCl,Podaj po jednym zastosowaniu NaOH i HCl.,"NaOH (wodorotlenek sodu, soda kaustyczna) jest wykorzystywany m.in. do produkcji mydła (zmydlanie tłuszczów). HCl (kwas solny) jest wykorzystywany m.in. w żołądku człowieka jako naturalny składnik soku żołądkowego, biorący udział w trawieniu pokarmu i niszczeniu bakterii — poza organizmem stosuje się go też np. do usuwania rdzy z metali. Ważne, by nie zamienić tych zastosowań miejscami — to różne substancje o przeciwnym odczynie.",pułapka: pomylenie zastosowań NaOH i HCl
81,CHEM-P5a-B04,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,4,Dysocjacja stopniowa H2S,Zapisz równanie dysocjacji elektrolitycznej kwasu siarkowodorowego H₂S w formie stopniowej.,"H2S dysocjuje stopniowo, w dwóch etapach, ponieważ jest kwasem dwuprotonowym i słabym: Etap 1: H2S ⇌ H+ + HS-. Etap 2: HS- ⇌ H+ + S2-. Nie wolno zapisywać tego jednym krokiem jako H2S → 2H+ + S2-, bo to sugerowałoby, że oba protony odrywają się jednocześnie, a w rzeczywistości najpierw powstaje jon wodorosiarczkowy HS-, który dopiero w drugim etapie (w znacznie mniejszym stopniu) oddaje kolejny proton.",pułapka: zapisanie dysocjacji jednym krokiem zamiast dwóch etapów
82,CHEM-P5a-B05,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,5,Barwa fenoloftaleiny i oranżu metylowego,"Jaki kolor przybiera fenoloftaleina w roztworze zasadowym, a jaki oranż metylowy w roztworze kwasowym?","Fenoloftaleina w roztworze zasadowym barwi się na malinowy/różowy (w roztworze kwasowym i obojętnym pozostaje bezbarwna). Oranż metylowy w roztworze kwasowym barwi się na czerwony (w roztworze zasadowym jest żółty, w obojętnym pomarańczowy). Trzeba pamiętać, że to dwa różne wskaźniki i nie wolno mylić ich barw — fenoloftaleina „reaguje” wyraźnie tylko na zasady, a oranż metylowy zmienia kolor zarówno przy kwasach, jak i zasadach.",pułapka: pomylenie barw wskaźników
83,CHEM-P5a-B06,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,6,Odczyn przy pH=3 i pH=9,Roztwór ma pH = 3. Jaki to odczyn? A roztwór o pH = 9?,"pH = 3 to odczyn kwasowy (wartości poniżej 7 oznaczają odczyn kwasowy, im bliżej 0, tym kwas mocniejszy). pH = 9 to odczyn zasadowy (wartości powyżej 7 oznaczają odczyn zasadowy, im bliżej 14, tym zasada mocniejsza). Kierunek skali jest więc jednoznaczny: niższe pH = więcej H+ = bardziej kwasowo, wyższe pH = mniej H+ (więcej OH-) = bardziej zasadowo.",pułapka: mylenie kierunku skali pH
84,CHEM-P5a-B07,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,7,Sok cytrynowy – papierek wskaźnikowy,Zbadałeś sok cytrynowy papierkiem wskaźnikowym i zabarwił się na czerwono. Jaki to odczyn?,"Czerwone zabarwienie uniwersalnego papierka wskaźnikowego oznacza odczyn kwasowy, nie zasadowy. Zgadza się to z faktem, że sok cytrynowy zawiera kwas cytrynowy i faktycznie ma odczyn kwasowy (niskie pH). Barwa czerwona na papierku wskaźnikowym nigdy nie oznacza zasady — to typowa pułapka wynikająca z mylenia skojarzeń kolorystycznych.",pułapka: przypisanie koloru czerwonego odczynowi zasadowemu
85,CHEM-P5a-B08,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,B,8,Przyczyny kwaśnych opadów,Co jest główną przyczyną kwaśnych opadów i jak ograniczyć ich powstawanie?,"Główną przyczyną kwaśnych opadów są tlenki siarki (głównie SO2) i tlenki azotu (NOx), które powstają przy spalaniu paliw kopalnych (węgla, ropy, ich pochodnych) w elektrowniach, zakładach przemysłowych i silnikach spalinowych. W atmosferze tlenki te reagują z wodą (parą wodną, kroplami deszczu), tworząc kwas siarkowy(VI) i kwas azotowy(V), które następnie opadają na ziemię jako kwaśny deszcz. Ograniczenie polega na odsiarczaniu spalin i paliw, stosowaniu filtrów oraz katalizatorów spalin w samochodach, a także na przechodzeniu na odnawialne źródła energii, które nie emitują tych tlenków.",pułapka: ogólnikowa odpowiedź „zanieczyszczenia” bez wskazania konkretnych tlenków
86,CHEM-P5a-C01,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,C,1,Porównanie pH 2 i 6 – stężenie jonów H+,"Zanim sprawdzisz dokładnie, oszacuj „na oko”: które pH — 2 czy 6 — odpowiada roztworowi bardziej kwasowemu? Wytłumacz to przez stężenie jonów wodorowych.","Bardziej kwasowy jest roztwór o pH = 2. Skala pH jest logarytmiczna i odwrotnie proporcjonalna do stężenia jonów H+: im niższe pH, tym większe stężenie H+. Różnica 4 jednostek pH (od 6 do 2) oznacza różnicę stężenia jonów H+ aż o czynnik 10^4, czyli 10 000 razy — roztwór o pH = 2 ma więc 10 000 razy więcej jonów wodorowych niż roztwór o pH = 6, mimo że różnica liczbowa wydaje się mała."
87,CHEM-P5a-C02,chemia,5a,Wodorotlenki i kwasy,Wodorotlenki i kwasy,C,2,"Rozróżnianie HCl, NaOH i wody jednym wskaźnikiem","Masz trzy nieoznakowane probówki z HCl, NaOH i wodą destylowaną. Zaproponuj, jak za pomocą jednego wskaźnika odróżnić wszystkie trzy.","Najlepiej użyć uniwersalnego papierka wskaźnikowego (lub uniwersalnego wskaźnika pH w postaci roztworu), bo daje on różne barwy w zależności od konkretnej wartości pH, a nie tylko sygnalizuje „kwas/zasada”. Zanurzając papierek kolejno w każdej probówce: w HCl papierek zabarwi się na czerwono/pomarańczowo (pH wyraźnie poniżej 7), w wodzie destylowanej pozostanie zielony (pH ≈ 7, odczyn obojętny), a w NaOH zabarwi się na niebiesko/fioletowo (pH wyraźnie powyżej 7). Dzięki temu, że skala barw jest ciągła i odpowiada konkretnym wartościom pH, jeden wskaźnik wystarcza do rozróżnienia wszystkich trzech próbek."
